Product,Price,Image
Mini Sewing Machine,"2,800",https://pictures-kenya.jijistatic.com/20262884_MzAwLTMwMC0wMDlhNThiODdjLTI.webp
Baby Rocking Chair,"4,500",https://pictures-kenya.jijistatic.com/25956914_MzAwLTMwMC01ZWNiNWNiODhkLTI.webp
Official Men Shirts,"1,500",https://pictures-kenya.jijistatic.com/8838084_1f2cb1515ca04ed8b0e26820e12d7961_2_300x300.webp
All Blue Air Bed,"15,000",https://pictures-kenya.jijistatic.com/7030461_img-20200226-wa0054_2_300x221.webp
Original Timberland,"4,500",https://pictures-kenya.jijistatic.com/6133065_img-20200124-223039-793_2_300x300.webp
Popscles Mould at 750,750,https://pictures-kenya.jijistatic.com/30846889_MzAwLTI5OC0zYmM3MTEwM2MwLTI.webp
Electric Vegetable Chopper /Meat Mincer,"2,500",https://pictures-kenya.jijistatic.com/21258178_MzAwLTI5MC0zODBiZWZiZWNkLTI.webp
These 50pcs/Set Trash Bags,"1,500",https://pictures-kenya.jijistatic.com/31807800_MzAwLTMwMC1mMmQ2MTNlYWFhLTI.webp
Kitchen Organizer,"2,500",https://pictures-kenya.jijistatic.com/8295085_fb-img-1587703677295_2_300x220.webp
Chapati Maker,"5,500",https://pictures-kenya.jijistatic.com/8333789_fb-img-1587878133315_2_300x221.webp
Pack of Arm Trimmer + Thigh Trimmer,"2,500",https://pictures-kenya.jijistatic.com/43553713_MzAwLTMwMC1hZTNmNGEwMzExLTE.webp
Redberry Sufurias,"4,500",https://pictures-kenya.jijistatic.com/47091290_MzAwLTE2OS1iMjU3MjdlNmVl.webp
Men Slim Fit Jeans,"1,500",https://pictures-kenya.jijistatic.com/8838131_ccf4cc665dc347a6bf9fe0b2bf9f4891_2_300x300.webp
Insulated Lunch Bag,"1,500",https://pictures-kenya.jijistatic.com/45556726_MzAwLTMwMC0zNGE1MDFhMTU0.webp
Commercial Gas Deep Fryer,"18,500",https://pictures-kenya.jijistatic.com/50354069_MzAwLTY4NC1lNzE3NTMxODYz.webp
12pcs Stainless Steel Cooking Set With A Kettle,"6,500",https://pictures-kenya.jijistatic.com/8224361_img-20200420-wa0161_2_300x356.webp
Quality Soft Blankets,"2,500",https://pictures-kenya.jijistatic.com/20189156_MzAwLTUwMC0yODM1NmQ2MDk0LTI.webp
20 Litres Stainless Steel Thermo Jar,"8,000",https://pictures-kenya.jijistatic.com/31973182_MzAwLTQzOS0zNGNmNWZlOGQwLTI.webp
4.5 Ltrs Deep Fryer,"5,500",https://pictures-kenya.jijistatic.com/5791323_img-20200113-170727_2_300x224.webp
Airforce White Sneakers,"2,500",https://pictures-kenya.jijistatic.com/23073651_MzAwLTI4OS01MThjMGZhZTY3LTI.webp
Water Dispenser,"3,500",https://pictures-kenya.jijistatic.com/1221899_img-20190702-140220_2_300x322.webp
Ziplock Bags,500,https://pictures-kenya.jijistatic.com/60668294_MzAwLTMwMC1iZGM3NTk5MGJh.webp
Cake Maker/Bread Maker/Cookies Maker,"3,500",https://pictures-kenya.jijistatic.com/8250113_fb-img-1587529607655_2_300x300.webp
White Stripped Duvet Cover With 1 Bedsheet And 2 Pillowcases,"3,000",https://pictures-kenya.jijistatic.com/6242139_fb-img-1580231559295_2_300x300.webp
2 Poles Bed Nets,"5,500",https://pictures-kenya.jijistatic.com/4274281_img-20191107-155127_2_300x400.webp
Double Bed Inflatable Mattress,"15,000",https://pictures-kenya.jijistatic.com/6216863_img-20200128-wa0014_2_300x233.webp
3d Carpets,"5,500",https://pictures-kenya.jijistatic.com/39978832_MzAwLTQwMC1jY2Y4YTY4YjQxLTI.webp
Airforce Sneakers,"2,500",https://pictures-kenya.jijistatic.com/8683027_img-20200511-wa0069_2_300x360.webp
Moses Basket,"2,500",https://pictures-kenya.jijistatic.com/42826397_MzAwLTQwMC05MDNlZDNlZGZkLTI.webp
Sukuma Wiki Cutter*Kales Meat and Fruits Chopper,"2,500",https://pictures-kenya.jijistatic.com/15082491_fb-img-1606714342627_2_300x300.webp
Red Flower 47pcs Dinner Set,"7,500",https://pictures-kenya.jijistatic.com/15935912_photogrid-plus-1609762702669_2_300x300.webp
Men Rubber Shoes,"1,800",https://pictures-kenya.jijistatic.com/1171801_img-20190627-wa0035_2_300x254.webp
Toilet Trainer Ladder,"3,500",https://pictures-kenya.jijistatic.com/32324867_MzAwLTMwMC03NTI0NjFlZTc3LTI.webp
Laptop Table,"6,000",https://pictures-kenya.jijistatic.com/60207404_MzAwLTMzMC1iYzMxMTE4NDky.webp
Kitchen Antislip Mat,"1,800",https://pictures-kenya.jijistatic.com/33580886_MzAwLTMwMC1iZWQxOTUwNzc5LTI.webp
6pcs Micro Fiber Hook Hand Towel,"1,200",https://pictures-kenya.jijistatic.com/36274632_MzAwLTMwMC1hMjA1ZmJhOTg3LTI.webp
Multi Purpose Double Grill Pan,"3,000",https://pictures-kenya.jijistatic.com/8017771_fb-img-1586371982679_2_300x366.webp
Airmax 270 Sneakers,"2,500",https://pictures-kenya.jijistatic.com/19244728_MzAwLTIzOS0xMTkzMjZiY2FmLTI.webp
Casual Wrist Watch,"1,500",https://pictures-kenya.jijistatic.com/57254423_MzAwLTQwMC1lMWZiMmNmMzgw.webp
Airforce Sneakers Size 38 to 44,"2,500",https://pictures-kenya.jijistatic.com/45080791_MzAwLTM1NC0yODBmYTY0YzJl.webp
